Samples	Myc1	Myc2	Myc3	Myc4	Myc5	Myc6	Myc7	Ras1	Ras2	Ras3	Ras4	Ras5	Ras6	Ras7
Factors	MYC+ tumor	MYC+ tumor	MYC+ tumor	MYC+ tumor	MYC+ tumor	MYC+ tumor	MYC+ tumor	RAS+ tumor	RAS+ tumor	RAS+ tumor	RAS+ tumor	RAS+ tumor	RAS+ tumor	RAS+ tumor
HMDB01264	1.73458	1	1.446191	1.838023	1.006705	0.715205	0.590113	0.590113	0.618777	0.590113	0.590113	0.590113	2.002084	0.959888
HMDB01161	1.710132	0.74102	2.175376	1.842504	1.864619	2.086652	1.776513	1.781834	2.269344	0.940512	2.829342	0.682038	0.732222	0.870326
HMDB0005060	0.875686	1.029643	1.359443	0.98974	1.037831	1.01026	0.788308	1.043026	1.13725	0.61277	1.076712	0.601793	0.890119	1.660099
HMDB02925	0.741354	1.243555	1.571226	1.459404	1.099782	1.510109	0.795211	0.608043	0.900218	0.41374	0.65185	0.654412	1.18553	1.245693
HMDB00038	1.229632	0.756348	1	1.967983	0.359265	1.588063	1.810865	0.359265	0.359265	0.359265	0.359265	0.359265	0.359265	0.359265
HMDB01473	0.366465	0.366465	0.366465	0.55064	1.686176	0.366465	0.366465	0.616901	0.366465	1	0.366465	0.366465	3.836944	0.366465
HMDB01539	1.187779	1.70797	1.029375	1.136624	0.94142	2.086644	1.993111	0.395184	0.732406	0.783936	0.536504	0.970625	1.168492	0.77021
HMDB00092	0.232632	0.856237	0.962576	0.78843	1.019793	0.412893	0.558663	0.678918	1.226335	0.413954	0.774958	0.980207	0.682787	0.550682
HMDB02183	0.622965	1.386527	0.720164	0.631849	0.855691	0.869637	0.853543	0.376441	0.989712	0.154824	0.996883	0.711182	1.43357	1.285445
HMDB01976	0.157213	0.726061	0.190356	0.13009	0.334983	0.455394	0.407498	0.541624	1.005967	0.237194	1.829682	1.006994	1.573672	1.878587
HMDB02823	1.730915	0.829005	2.352257	1.241677	1.172463	2.201462	1.320805	0.336571	0.606283	0.336571	0.336571	0.336571	1.225261	1.14046
HMDB01999	0.376148	0.86506	0.568493	0.546987	1.028838	0.67205	0.575647	0.24703	0.495287	0.17839	1.049543	0.852882	0.971162	0.899199
HMDB02231	0.950822	1.010882	1.304112	0.989118	1.104076	0.911598	0.775931	1.036115	1.018346	0.756708	0.71614	0.56295	1.097396	1.451545
HMDB03045	0.49255	2.05569	0.488658	0.654382	1.091465	0.809766	1.152231	0.099153	0.302978	0.190024	0.746568	0.532625	0.908535	0.560617
HMDB02994	0.882189	0.841778	0.960408	1.032339	0.675201	1.058243	1.392269	9.743793	7.414517	0.64791	1.880191	0.477919	0.71018	0.60691
HMDB00613	1.326731	1.157206	1.316703	1.061978	0.823061	1.443762	1.53398	18.93417	9.228052	0.818239	3.085718	0.891214	0.917089	1.006876
HMDB02649	0.718611	0.749952	1.077016	1.294021	1.149642	0.679265	0.357952	0.176994	0.09911	0.613392	0.680613	0.870112	1.199717	0.52886
HMDB00149	3.4618	3.404541	1.633292	3.063757	1.630818	1.874467	2.078965	0.397718	0.900619	0.697188	1.395684	0.819689	0.615704	0.847434
HMDB0029811	1.542853	1.074617	1.098991	1.097148	1.261354	0.654724	1.299864	0.48999	0.723574	0.48999	0.494316	0.593393	0.5365	0.60427
HMDB01248	0.731448	1.001426	0.759076	0.708766	0.743679	0.675147	0.711686	0.436027	0.691823	0.446764	1.049798	0.699512	0.933028	0.498729
HMDB00660	0.694467	0.73643	1.019382	1.061756	0.980618	0.481902	0.371244	0.3031	0.4152	0.290602	0.420722	0.625497	0.612297	0.361918
HMDB00124	3.189669	0.911908	1.579272	5.363177	0.285402	1.810669	1.776332	2.641887	0.797826	3.116369	1.617119	1.088092	2.27512	3.674661
HMDB00174	1	1.570024	0.944684	0.517201	0.591428	0.889187	1.610509	2.650654	1.548599	0.668723	0.854966	1.857289	1.085392	1.58592
HMDB00134	1.073611	0.860377	1.174491	0.96231	1.088556	0.708588	1.180516	0.519628	0.503368	0.492911	0.684984	0.533432	1.197388	0.590786
