samples	Ctrl1	Ctrl2	Ctrl3	Ctrl4	Ctrl5	Ctrl6	Ctrl7	Myc1	Myc2	Myc3	Myc4	Myc5	Myc6	Myc7
factors	normal control	normal control	normal control	normal control	normal control	normal control	normal control	MYC+ tumor	MYC+ tumor	MYC+ tumor	MYC+ tumor	MYC+ tumor	MYC+ tumor	MYC+ tumor
HMDB00254	0.574048	0.596591	0.916862	0.701866	1.083138	2.530552	2.625138	0.526324	0.670213	0.73648	0.334545	0.640917	0.366988	0.462831
HMDB0061717	0.253133	0.238463	0.30338	0.124899	14.901685	15.579985	12.523468	1.164539	1.201474	1.98521	1.635225	2.002692	1.162311	1.191945
HMDB03418	0.481653	0.481653	0.481653	2.199824	0.481653	3.143142	1.754309	0.481653	0.745791	0.964095	0.481653	0.481653	0.875172	0.481653
HMDB00251	0.790655	0.738505	0.855491	0.798055	1.125502	1.331474	1.288152	1.28739	1.229957	1.248543	1.305957	1.2997	1.218157	1.212676
HMDB00932	0.357492	0.826229	0.728077	0.235332	1.254478	1.270975	1.002018	0.552592	0.763617	2.72491	1.047411	3.972433	0.498625	0.41569
HMDB00951	1.501615	1.829534	2.012971	0.864327	4.579739	4.071556	2.929295	0.297999	0.804227	0.506067	0.590473	0.351648	0.133251	0.120268
HMDB00036	0.572522	0.631004	0.801543	0.366073	0.752658	1.142762	1.106706	0.60834	0.903613	2.347526	0.943097	2.308249	0.389442	0.520026
HMDB00896	1.326831	1.064011	1.878754	1.650158	0.123711	0.123711	2.295027	1.564468	1.578521	2.314703	2.330867	0.956908	0.629122	0.473711
HMDB00235	1.595094	2.376182	2.53149	1.942005	1.73971	1.548303	2.443506	0.607253	0.677725	0.448379	0.288653	0.420226	0.485782	0.377917
HMDB04136	0.503196	0.503196	0.503196	0.503196	0.503196	0.503196	0.503196	0.503196	0.503196	0.503196	0.503196	0.503196	0.503196	0.503196
HMDB00943	0.152578	0.148293	0.225327	0.267597	1.005617	1.308061	1.426432	1.136411	0.824557	0.525663	0.844653	0.64638	0.289847	0.379594
HMDB00167	0.799029	0.674081	0.645628	0.671752	1.026112	0.657159	0.755213	1.310628	1.466485	1.530897	1.590326	1.071006	1.50453	1.66867
HMDB00273	0.257153	0.257153	0.257153	0.257153	0.257153	0.257153	0.257153	1.347124	0.553466	1.540577	1.341557	1.120466	0.879534	1.275236
HMDB00262	0.480997	0.604339	0.273944	0.434428	0.817818	0.805361	0.404084	4.818337	7.895717	3.141704	4.231897	3.621317	3.362693	6.409053
HMDB02366	1.290818	0.453209	1.721346	0.955564	4.859187	3.605302	4.126573	1	1.351921	0.553755	0.482293	0.453209	0.453209	0.453209
HMDB00725	1.678326	1.379902	0.553114	0.552095	0.258045	0.326838	0.258045	0.663051	0.582898	0.595131	0.676958	0.620224	2.118799	1.724169
HMDB00875	2.147123	1.994718	1.6908	2.057195	1.190324	1.385217	1.259417	0.44178	0.474623	0.254582	0.544859	0.322733	0.315125	0.664106
HMDB00929	0.667452	0.665589	0.667826	0.628528	1.046009	0.839271	0.824859	1.1258	1.522981	1.392452	1.465719	1.243914	1.431592	1.780452
HMDB00158	0.764539	0.620504	0.804891	0.884636	0.437278	0.488057	0.375719	1.891333	2.244683	2.010967	2.195807	1.936337	2.109572	2.440316
HMDB000302	0.32732	0.258775	1.251218	1.112176	0.402658	0.53142	0.258775	0.528824	0.450037	0.258775	0.258775	0.258775	0.969239	1.543239
HMDB00935	0.168326	0.168326	0.168326	0.168326	0.168326	0.168326	0.168326	1.812298	0.168326	1	0.965741	1.144549	2.226748	1.808194
HMDB00300	0.482761	0.47086	0.365403	0.560658	1.094883	1.070587	1.031056	0.947725	1.135463	1.015415	1.089815	0.74088	0.929266	0.939859
HMDB00294	1.152574	1.23762	1.169989	0.762772	1.55491	0.876106	0.955603	1.490721	0.722331	0.770164	1.264336	0.442489	0.827748	0.912601
HMDB00296	1.118816	1.107978	1.191815	1.084359	0.861209	0.791025	0.813862	0.919844	1.004736	1.085533	0.910843	1.047782	0.881313	1.065845
HMDB00927	3.14434	3.170913	2.004182	2.01183	0.843639	0.85362	1.165514	0.843639	0.843639	0.843639	0.843639	0.843639	0.843639	0.843639
HMDB00883	0.913486	0.834322	0.743935	0.894829	1.144214	0.885623	0.846615	1.087879	1.308433	1.157793	1.326771	1.037567	1.160448	1.380972
HMDB00292	0.873396	0.992656	0.821722	1.143202	1.441056	1.247922	1.459498	0.941474	1.242769	0.869356	0.922295	0.667332	0.946701	1.21277
HMDB00299	5.546455	5.617832	3.262283	4.273257	2.593058	3.732191	4.857185	0.236633	1.154489	0.846356	0.635025	0.628835	0.249219	0.802165
HMDB00568	5.861572	6.596938	4.202796	4.880928	2.00823	4.152277	4.080538	0.527788	1.047498	0.675817	0.259341	0.532312	0.44743	0.397591
HMDB0059750	2.277062	3.125611	3.62657	3.70983	3.618944	4.357527	3.775126	0.4124	1.095241	0.231115	0.442494	0.392382	0.631778	0.752663
HMDB00654	1.514705	1.071339	1.453972	1.563174	1.224984	0.949086	1.310301	1.088466	0.666492	1.050914	0.848691	0.653071	0.800946	0.750519
