ProbeID,GeneSymbol,EntrezGene,UniGene,Cytoband,logFC.MycEffect,MycEffect.adjustp, Control 1 , Control 2 , Control 3 , Control 4 , Myc 1 , Myc 2 , Myc 3 , Myc 4 
A_51_P221512,Ppp1r2,66849,Mm.291593,mm|16qB2,-0.55,0.012,7.054,7.127,6.869,7.128,6.364,6.507,6.505,6.37
A_51_P396811,2900009I07Rik,68034,Mm.217214,mm|19qB,-0.55,0.087,8.085,8.152,8.268,8.27,7.947,7.965,7.921,7.694
A_52_P138727,Sirt7,209011,Mm.292957,mm|11qE2,-0.56,0.072,12.074,11.667,11.864,11.995,10.834,10.967,10.976,10.952
A_51_P263756,Ndufa7,66416,Mm.29513,mm|17qB1,-0.57,0.07,13.219,13.111,13.439,13.125,12.495,12.728,12.399,12.655
A_51_P257282,4921517B04Rik,70892,Mm.187793,mm|3qH2,-0.58,0.02,6.305,6.325,6.347,6.504,5.967,6.278,6.228,6.027
A_52_P26892,C1galt1,94192,Mm.393184,mm|6qA1,-0.58,0.023,10.589,10.596,10.481,10.355,9.712,9.498,9.44,9.313
A_52_P366696,1810033M07Rik,69187,Mm.33692,mm|6qG1,-0.58,0.044,6.277,6.572,6.508,6.56,5.711,5.958,5.89,5.859
A_52_P681488,Stx17,67727,Mm.171334,mm|4qB1,-0.59,0.01,8.586,8.256,8.539,8.555,7.505,7.476,7.506,7.321
A_52_P665928,Gnptg,214505,Mm.38607,mm|17qA3.3,-0.6,0.035,11.079,11.294,11.413,11.223,10.365,10.429,10.29,10.254
A_52_P332105,Ddhd1,114874,Mm.121918,mm|14qB,-0.6,0.047,7.394,7.413,7.364,7.619,6.324,6.678,6.627,6.665
A_52_P194170,Ube2r2,67615,Mm.389540,mm|4qA5,-0.6,0.051,10.051,10.131,10.271,10.118,9.267,9.504,9.537,9.432
A_51_P356303,Stx8,55943,Mm.3973,mm|11qB3,-0.61,0.015,11.568,11.814,11.729,11.702,11.24,11.31,11.19,11.045
A_52_P94845,Nicn1,66257,Mm.10407,mm|9qF2,-0.61,0.077,9.482,9.666,9.867,9.664,8.726,8.848,8.883,9.055
A_52_P222135,Lrch1,380916,Mm.288868,mm|14qD3,-0.62,0.025,7.478,7.288,7.494,7.701,6.627,6.737,6.627,6.744
A_51_P292855,Snap29,67474,Mm.271992,mm|16qA3,-0.63,0.003,8.385,8.503,8.466,8.647,7.944,7.827,7.836,7.783
A_51_P260300,Ikbkg,16151,Mm.12967,mm|XqA7.3,-0.63,0.022,7.834,8.014,7.777,7.901,7.076,7.106,7.013,6.978
A_51_P507899,Ttc8,76260,Mm.282660,mm|12qE,-0.63,0.024,7.924,7.761,7.894,7.915,7.099,7.462,7.16,7.243
A_51_P102652,1810034K20Rik,67881,Mm.24601,mm|14qC2,-0.63,0.039,9.412,9.765,9.686,9.675,8.909,8.881,8.89,9.019
A_51_P253697,Rpain,69723,Mm.275691,mm|11qB4,-0.63,0.058,11.039,11.184,11.155,11.497,10.021,10.063,10.113,10.042
A_51_P472405,Ndufa1,54405,Mm.34869,mm|XqA3.1,-0.64,0.002,14.245,14.128,14.427,14.207,13.201,13.022,12.93,12.898
A_52_P271031,Mea1,17256,Mm.329083,mm|17qC,-0.64,0.017,10.838,10.913,11.046,11.008,10.097,10.325,9.951,10.27
A_52_P384264,Zfp185,22673,Mm.1161,mm|XqA7.3,-0.64,0.038,6.153,6.407,6.183,6.232,5.934,6.098,6.105,5.984
A_51_P152489,1200015A19Rik,67808,Mm.288737,mm|4qE2,-0.65,0.073,10.796,10.886,11.057,10.888,9.885,10.288,10.082,10.096
A_52_P1016836,LOC639426,639426,Mm.84118,mm|12qC1,-0.65,0.08,6.666,6.823,6.644,6.807,5.853,6.098,5.93,5.859
A_51_P138189,Mthfs,107885,Mm.425595,mm|9qE3.1,-0.66,0.006,12.863,12.897,13.114,12.993,12.318,12.226,12.369,12.25
A_51_P293001,1810048P08Rik,69834,Mm.37380,mm|6qD1,-0.66,0.017,7.438,7.944,7.906,7.754,6.559,6.747,6.618,6.626
A_52_P134141,Pigy,66459,Mm.44201,mm|6qB3,-0.66,0.069,10.057,10.33,10.248,10.224,8.669,8.786,8.844,8.658
A_52_P539540,Setd3,52690,Mm.159185,mm|12qF1,-0.66,0.083,10.914,10.957,11.023,11.054,10.225,10.394,10.306,10.25
A_51_P426986,,NA,,mm|7qA3,-0.67,0.046,8.282,8.354,8.551,8.413,7.051,7.235,7.213,7.08
A_52_P112017,Tspo,12257,Mm.1508,mm|15qE2,-0.69,0.003,11.7,11.806,11.707,11.764,10.583,11.009,10.812,10.871
A_51_P515532,C030003D03Rik,77220,Mm.266260,mm|10qA4,-0.69,0.039,5.912,6.087,6.12,6.019,5.988,6.088,6,5.991
A_51_P181671,Itga7,16404,Mm.179747,mm|10qD3,-0.69,0.095,7.306,6.986,7.415,7.346,6.377,6.643,6.552,6.44
A_52_P652913,D930014E17Rik,57373,Mm.334138,mm|7qE3,-0.7,0.011,11.963,11.864,12.015,11.916,10.731,10.933,10.849,11.145
A_51_P180413,C130076O07Rik,319504,Mm.208439,mm|12qB2,-0.7,0.013,6.305,6.028,6.371,6.381,6.6,6.494,6.277,6.452
A_52_P673391,Stoml1,69106,Mm.216502,mm|9qB,-0.7,0.015,8.701,8.627,8.814,8.77,8.08,8.312,8.213,8.402
A_51_P438692,Vti1b,53612,Mm.265929,mm|12qC3,-0.7,0.052,12.609,12.99,12.891,12.9,12.119,12.182,12.147,12.16
A_51_P298231,2210015D19Rik,76508,Mm.260203,mm|11qA1,-0.71,0.006,9.246,9.664,9.622,9.597,8.401,8.34,8.386,8.424
A_51_P392705,Xpc,22591,Mm.2806,mm|6qD1,-0.71,0.068,11.024,11.204,11.033,11.449,10.336,10.386,10.38,10.211
A_51_P375207,,NA,,mm|16qB4,-0.71,0.1,7.693,7.737,7.521,7.394,5.789,6.176,5.89,6.063
A_52_P678895,Dynlt3,67117,Mm.29150,mm|XqA1.1,-0.72,0.01,10.689,10.617,10.801,10.663,9.857,10.04,9.781,9.991
A_51_P442091,Snx13,217463,Mm.213991,mm|12qA3,-0.72,0.011,9.235,9.041,9.102,9.194,7.734,7.984,7.714,7.835
A_51_P117604,Rab5a,271457,Mm.329123,mm|17qC,-0.72,0.03,12.35,12.141,12.314,12.305,11.428,11.481,11.31,11.347
A_51_P245405,Ppp3cc,19057,Mm.245742,mm|14qD1,-0.72,0.072,7.912,8.054,8.11,8.085,7.482,7.758,7.779,7.776
A_52_P625277,2610203E10Rik,329470,Mm.86901,mm|2qE1,-0.72,0.083,7.756,7.747,7.516,7.754,6.922,7.119,6.973,7.094
A_52_P207314,Htra4,330723,Mm.334452,mm|8qA2,-0.73,0.004,7.352,7.37,7.293,7.247,6.35,5.894,5.89,5.973
A_51_P411019,Tmem127,69470,Mm.200889,mm|2qF1,-0.73,0.011,12.241,12.267,12.072,12.39,11.774,11.498,11.432,11.444
A_51_P408471,Cdipt,52858,Mm.28219,mm|7qF3,-0.73,0.011,12.626,12.714,12.78,12.541,12.168,12.208,12.019,12.1
A_51_P397920,D17Wsu92e,224647,Mm.426297,mm|17qA3.3,-0.73,0.018,13.097,12.824,12.751,13.021,11.976,11.88,12.037,11.738
A_52_P60105,Sgsh,27029,Mm.103788,mm|11qE2,-0.73,0.035,9.248,9.177,9.187,9.385,8.409,8.581,8.558,8.615
A_52_P423978,Zfp68,24135,Mm.27575,mm|5qG2,-0.73,0.064,8.8,8.71,8.874,8.757,7.846,7.986,7.904,7.972
A_51_P423127,Gba,14466,Mm.5031,mm|3qF1,-0.73,0.077,9.568,10.125,9.9,10.081,9.271,9.269,9.303,9.422
A_52_P188139,Rxra,20181,Mm.24624,mm|2qA3,-0.73,0.08,14.047,13.684,14.129,14.138,12.885,13.131,13.091,12.962
A_51_P504588,Tm2d2,69742,Mm.28626,mm|8qA2,-0.73,0.085,11.862,11.919,11.997,11.748,10.928,10.782,10.761,10.71
A_52_P346458,Tollip,54473,Mm.103551,mm|7qF5,-0.74,0.002,11.762,11.739,11.757,11.631,11.116,10.992,11.134,11.065
A_52_P320904,AI987944,233168,Mm.379390,mm|7qB3,-0.74,0.031,8.884,9.159,9.109,8.744,7.92,7.912,8.111,7.729
A_51_P351285,Pcsk7,18554,Mm.3255,mm|9qA5.2,-0.74,0.038,10.536,10.775,10.687,10.956,9.577,9.71,9.653,9.564
A_52_P576689,6330416L07Rik,319615,Mm.227945,mm|17qA3.2,-0.74,0.043,9.235,9.343,9.513,9.331,8.344,8.299,8.376,8.383
A_51_P406414,Hp1bp3,15441,Mm.29822,mm|4qD3,-0.74,0.066,10.937,10.598,10.814,10.758,9.639,9.666,9.649,9.751
A_51_P113403,Slc26a11,268512,Mm.31869,mm|11qE2,-0.75,0,9.95,10.068,9.848,10.17,8.791,8.815,8.627,8.686
A_51_P399652,C330001K17Rik,77609,Mm.159953,mm|9qA3,-0.75,0.068,7.611,7.871,7.566,7.907,5.868,6.297,6,6.124
A_51_P392627,9530068E07Rik,213673,Mm.291979,mm|11qB1.3,-0.76,0.001,12.947,12.728,12.829,12.76,11.751,12,11.869,11.898
A_51_P479464,Cdc2l6,78334,Mm.200924,mm|10qB1,-0.76,0.004,7.934,7.847,7.808,8.187,7.202,7.137,7.207,7.145
A_51_P518926,2310047M10Rik,71923,Mm.340257,mm|11qB3,-0.76,0.056,10.401,10.385,9.992,10.287,9.37,9.431,9.458,9.44
A_52_P64364,Ikbkb,16150,Mm.277886,mm|8qA2,-0.76,0.081,10.218,10.674,10.364,10.681,9.49,9.483,9.706,9.512
A_52_P391000,Pde8a,18584,Mm.389914,mm|7qD2,-0.76,0.084,9.645,9.341,9.469,9.546,7.737,8.269,8.242,8.09
A_51_P482029,Mcoln1,94178,Mm.8356,mm|8qA1.1,-0.77,0.012,11.991,12.079,12.308,12.345,11.077,11.555,11.18,11.25
A_52_P190973,Vcl,22330,Mm.279361,mm|14qA3,-0.77,0.067,10.261,10.614,10.468,10.544,9.462,9.653,9.612,9.432
A_51_P472751,Ei24,13663,Mm.4337,mm|9qA4,-0.78,0.028,13.93,13.622,13.672,13.643,12.446,12.432,12.798,12.41
A_51_P203138,Foxh1,14106,Mm.42011,mm|15qD3,-0.78,0.036,11.294,10.901,10.854,10.684,9.792,9.953,9.866,9.751
A_52_P103981,Prr14,233895,Mm.44183,mm|7qF3,-0.78,0.06,10.234,10.369,10.248,10.592,9.537,9.124,9.535,9.352
A_52_P353567,Pi4k2b,67073,Mm.248647,mm|5qC1,-0.78,0.087,9.938,9.811,10.158,10.095,9.577,9.951,9.346,9.765
A_51_P398467,Bsdc1,100383,Mm.17918,mm|4qD2.2,-0.79,0.004,11.381,11.15,11.417,11.418,10.177,10.229,10.191,10.31
A_51_P391926,Ubxd1,66530,Mm.28000,mm|17qC,-0.79,0.088,13.086,13.224,13.053,13.167,12.422,12.609,12.523,12.397
A_51_P231738,Dnajc4,57431,Mm.10721,mm|19qA,-0.8,0.03,11.137,11.276,10.98,11.236,10.255,9.929,10.077,10.045
A_51_P397296,Marveld3,73608,Mm.86833,mm|8qD3,-0.8,0.069,6.692,6.748,6.653,6.914,5.848,6.278,5.965,5.883
A_51_P320888,Cln5,211286,Mm.295289,mm|14qE2.3,-0.8,0.084,10.786,10.823,11.135,11.002,10.403,10.53,10.212,10.324
A_51_P181785,AI413194,100620,Mm.22973,mm|5qG2,-0.8,0.091,10.981,10.634,10.814,10.999,10.412,9.856,9.936,9.985
A_52_P649332,Sdf4,20318,Mm.293517,,-0.81,0.004,12.934,13.238,13.175,13.11,11.686,12.092,11.912,11.983
A_51_P461031,Ostm1,14628,Mm.46636,mm|10qB2,-0.81,0.02,11.363,11.466,11.228,11.335,10.772,10.506,10.346,10.481
A_52_P513281,Wrnip1,78903,Mm.286680,mm|13qA3.3,-0.81,0.022,11.95,11.595,11.78,11.81,10.25,10.244,10.089,9.935
A_51_P157986,3321401G04Rik,77574,Mm.24652,mm|6qB2.1,-0.81,0.077,6.692,7.188,7.09,7.165,6.236,6.417,6.302,6.201
A_51_P176387,5830454D03Rik,109029,Mm.393327,mm|8qA2,-0.81,0.098,10.02,9.822,9.482,9.901,8.518,8.111,8.26,8.136
A_51_P201104,Pnpla8,67452,Mm.54126,mm|12qB1,-0.82,0.016,10.561,10.455,10.35,10.547,9.312,9.241,9.089,8.929
A_52_P27332,Ppp2r5c,26931,Mm.391677,mm|12qF1,-0.82,0.03,10.147,10.233,10.265,10.423,9.712,9.577,9.604,9.642
A_51_P184849,Pfkfb2,18640,Mm.249861,mm|1qE4,-0.82,0.077,8.05,7.662,7.587,7.857,6.916,6.97,6.973,6.866
A_51_P511060,Galnact2,78752,Mm.300317,mm|6qF1,-0.83,0.021,10.496,10.3,10.144,10.332,9.532,9.452,9.263,9.442
A_51_P175771,Fliih,14248,Mm.339755,mm|11qB2,-0.83,0.029,12.492,12.316,12.265,12.381,11.782,11.763,11.412,11.723
A_52_P269384,1110018G07Rik,68497,Mm.24446,mm|12qD2,-0.83,0.066,9.229,9.437,9.537,9.663,7.776,8.134,7.853,8.098
A_52_P347847,AU022252,230696,Mm.388894,mm|4qD2.1,-0.84,0.001,9.904,9.985,10.022,9.944,8.573,8.782,8.832,8.674
A_51_P489313,Sri,109552,Mm.96211,mm|5qA1,-0.84,0.002,11.257,11.396,11.247,11.209,10.483,10.741,10.312,10.554
A_51_P331462,Cgrrf1,68755,Mm.343809,mm|14qC1,-0.84,0.015,10.464,10.841,10.789,10.628,9.282,9.625,9.273,9.421
A_52_P96360,,NA,,mm|1qH1,-0.84,0.088,9.749,10.111,10.206,9.937,8.59,9.124,8.968,9.163
A_52_P334677,Clock,12753,Mm.3552,mm|5qC3.3,-0.84,0.094,8.905,8.694,8.407,8.257,7.377,7.178,7.222,7.087
A_52_P279152,Vamp8,22320,Mm.1838,mm|6qC1,-0.85,0.001,12.398,12.62,12.469,12.635,11.634,11.478,11.446,11.466
A_51_P257156,2600009E05Rik,77006,Mm.27090,mm|2qF1,-0.85,0.008,12.564,12.56,12.511,12.633,10.964,11.265,11.264,10.975
A_51_P160372,Wbp1,22377,Mm.1109,mm|6qC3,-0.85,0.009,13.33,13.368,13.226,13.373,11.885,12.172,11.709,11.898
A_51_P116609,Tex12,66654,Mm.240195,mm|9qA5.3,-0.86,0.004,7.693,7.747,7.878,7.747,5.789,6.08,5.89,5.828
A_51_P316188,Nifun,66383,Mm.29497,mm|5qF,-0.86,0.005,14.096,14.325,14.228,14.484,13.012,13.029,13.008,12.714
A_51_P208019,0610009J22Rik,71673,Mm.240586,mm|11qA1,-0.86,0.009,11.24,11.538,11.421,11.624,10.704,10.449,10.168,10.351
A_51_P284233,Prrg2,65116,Mm.379098,mm|7qB3,-0.86,0.012,11.748,11.541,11.953,11.727,10.276,10.455,9.956,10.235
A_51_P220026,,NA,,mm|6qF1,-0.86,0.064,14.277,14.016,14.053,14.234,12.751,12.995,12.549,12.418
A_52_P625940,Noxo1,71893,Mm.390971,mm|17qA3.3,-0.86,0.067,8.398,8.385,8.182,8.361,7.425,7.321,7.053,7.409
A_51_P449048,Cndp2,66054,Mm.29646,mm|18qE4,-0.86,0.075,9.988,10.533,10.328,10.376,10.25,10.405,10.352,10.581
A_51_P409429,Aars,234734,Mm.24174,mm|8qE1,-0.86,0.087,13.648,13.957,13.728,14.112,12.139,12.237,12.154,12.032
A_51_P358397,Agbl3,76223,Mm.150047,mm|6qB1,-0.87,0.006,8.711,8.905,9.157,9.021,7.271,7.412,7.558,7.356
A_51_P516526,Stim2,116873,Mm.265985,mm|5qC1,-0.87,0.016,10.306,10.451,10.426,10.678,8.726,8.806,8.726,8.984
A_52_P95740,AI316807,102032,Mm.378231,mm|8qA2,-0.87,0.037,10.586,10.512,10.56,10.523,9.006,9.549,9.286,9.505
A_52_P141458,Tpp1,12751,Mm.20837,mm|7qE3,-0.87,0.039,9.375,9.513,9.587,9.514,8.273,8.515,8.434,8.516
A_52_P296864,3110045C21Rik,67303,Mm.396611,mm|1qH3,-0.87,0.042,7.834,8.144,8.26,8.217,5.848,6.471,6.204,6.295
A_51_P445574,Nags,217214,Mm.31686,mm|11qD,-0.87,0.091,14.153,14.467,14.208,14.487,12.854,12.736,12.982,12.773
A_52_P332898,5330430P22Rik,68191,Mm.398840,,-0.88,0,8.05,7.808,7.97,7.994,6.35,6.532,6.56,6.457
A_51_P283464,Icmt,57295,Mm.277464,mm|4qE2,-0.88,0.001,10.992,11.07,10.922,11.14,10.212,9.944,10.12,9.754
A_51_P382484,Itgav,16410,Mm.227,mm|2qD,-0.88,0.014,9.714,9.374,9.085,9.304,8.686,8.621,8.616,8.536
A_51_P236412,Cdkl2,53886,Mm.44963,mm|5qE2,-0.88,0.02,8.449,8.368,8.454,8.429,7.165,7.632,7.049,7.331
A_52_P380997,,NA,Mm.102496,mm|18qB3,-0.88,0.042,12.967,12.851,12.978,13.036,11.438,11.605,11.405,11.404
A_52_P325388,2810439F02Rik,72747,Mm.52526,mm|18qA1,-0.88,0.049,7.571,7.935,8.128,8.288,5.777,6.246,5.965,5.954
A_52_P338110,Chmp1b,67064,Mm.73777,mm|18qE1,-0.88,0.055,9.626,9.779,9.884,9.797,8.766,9.071,9.016,8.986
A_51_P517982,Gabarapl2,93739,Mm.371666,mm|8qE1,-0.88,0.076,11.866,11.983,12.385,11.972,10.526,11.039,10.719,10.943
A_51_P103780,Sft2d2,108735,Mm.288369,mm|1qH2.2,-0.89,0.001,12.052,11.811,11.916,12.009,10.615,10.623,10.61,10.705
A_51_P500760,LOC434156,434156,Mm.118535,mm|7qA3,-0.89,0.032,9.122,9.202,9.344,9.214,8.198,8.144,7.858,7.934
A_52_P1085448,,NA,,,-0.9,0.016,7.767,8.103,8.243,8.156,6.338,6.388,6.252,6.165
A_51_P133105,8430416G17Rik,71469,,mm|18qB3,-0.91,0.009,9.141,9.03,9.325,8.908,7.608,7.514,7.489,7.581
A_51_P131281,Exdl1,241624,Mm.212773,mm|2qE5,-0.91,0.045,9.797,9.591,9.79,9.744,7.873,8.049,7.606,8.253
A_51_P480982,Glo1,109801,Mm.261984,mm|17qA3.3,-0.91,0.051,14.657,14.683,14.895,14.666,12.749,13.117,12.926,12.746
A_52_P117325,Rbl2,19651,Mm.235580,mm|8qC4,-0.91,0.051,10.068,10.038,9.666,10.157,8.147,8.34,8.575,8.066
A_52_P44,Bcl2l2,12050,Mm.6967,mm|14qC2,-0.91,0.053,6.398,6.549,6.587,6.648,5.95,6.328,6.214,6.25
A_52_P544560,2610034P21Rik,70212,Mm.108176,mm|3qF2.2,-0.91,0.072,9.151,9.041,8.95,9.037,7.134,7.333,6.897,7.192
A_52_P500351,Lxn,17035,Mm.2632,mm|3qE1,-0.92,0,8.05,7.897,8.021,8.092,7.663,7.958,7.731,8.024
A_51_P353947,Il11ra1,16157,Mm.193451,mm|4qA5,-0.92,0.031,12.665,12.381,12.494,12.41,10.339,10.822,10.796,10.725
A_52_P261249,Zfand3,21769,Mm.220972,mm|17qA3.3,-0.92,0.043,11.775,11.744,11.934,12.141,10.76,11.08,10.731,10.909
A_51_P150555,Sfxn3,94280,Mm.36169,mm|19qC3,-0.93,0.011,7.611,7.427,7.592,7.434,7.628,7.718,7.633,7.757
A_51_P320114,Grcc10,14790,Mm.333380,mm|6qF2,-0.93,0.027,14.77,15.155,15.329,15.093,14.281,13.919,13.751,13.554
A_52_P500244,Atrn,11990,Mm.119936,mm|2qF1,-0.93,0.037,11.437,11.156,11.17,11.311,9.413,9.389,9.254,9.272
A_51_P461123,Tlr5,53791,Mm.116894,mm|1qH5,-0.93,0.058,8.349,8.516,7.943,8.358,6.548,7.012,6.39,6.618
A_51_P232824,Tmco4,77056,Mm.122336,mm|4qD3,-0.93,0.071,10.552,10.549,10.337,10.89,9.484,9.307,9.093,9.294
A_51_P383774,Gngt1,14699,Mm.95398,mm|6qA1,-0.94,0.025,8.176,8.007,7.938,7.589,5.664,6.06,5.89,6.009
A_51_P364632,Sh3bp2,24055,Mm.5012,mm|5qB2,-0.94,0.026,9.106,8.884,9.059,8.996,7.895,7.698,7.5,7.712
A_51_P459350,Dstn,56431,Mm.28919,mm|2qG1,-0.94,0.031,12.701,12.936,12.984,12.828,12.147,12.645,12.465,12.39
A_51_P163444,Carhsp1,52502,Mm.142095,mm|16qA1,-0.94,0.035,12.149,12.406,12.546,12.746,11.166,11.581,11.371,11.752
A_52_P644690,,NA,Mm.1658,mm|7qB3,-0.94,0.05,9.303,9.289,9.057,9.22,7.841,8.041,7.672,7.619
A_52_P99502,Scrn3,74616,Mm.247457,mm|2qC3,-0.94,0.079,8.428,8.658,8.62,8.912,7.633,7.704,8.055,7.999
A_52_P186362,,NA,,mm|5qF,-0.94,0.095,9.95,9.521,9.483,9.322,8.567,8.458,8.358,7.961
A_52_P194250,Ets1,23871,Mm.292415,mm|9qA4,-0.95,0.012,9.601,9.855,9.569,9.838,9.116,9.307,9.025,8.721
A_51_P115817,Ralgps2,78255,Mm.279007,mm|1qG3,-0.95,0.041,9.085,8.862,8.693,8.983,8.379,8.71,8.519,8.62
A_51_P198387,Uckl1,68556,Mm.232400,,-0.95,0.045,10.005,10.203,10.533,10.262,8.836,9.433,9.133,9.284
A_51_P425490,Agpat3,28169,Mm.141230,mm|10qC1,-0.95,0.062,13.739,13.428,13.722,13.713,12.59,13.237,12.67,12.623
A_52_P337427,9030607L17Rik,71564,Mm.35802,mm|10qC1,-0.95,0.085,8.901,8.839,8.89,9.093,7.861,7.542,7.964,7.984
A_51_P447908,,NA,Mm.329156,mm|17qE1.1,-0.95,0.088,8.022,8.629,8.719,8.787,7.028,7.28,7.207,6.943
A_51_P453715,2410166I05Rik,76824,Mm.30153,mm|4qD3,-0.96,0.006,11.691,11.91,11.896,11.942,10.382,10.674,10.654,10.474
A_52_P661029,A730055C05Rik,338369,Mm.128138,mm|11qB3,-0.96,0.023,8.213,8.231,8.439,8.476,6.504,6.724,6.713,6.483
A_51_P132718,2310010J17Rik,78329,Mm.389940,mm|7qD3,-0.96,0.024,11.07,10.858,11.229,10.993,9.449,9.695,9.435,9.322
A_51_P107808,Ttc19,72795,Mm.69739,mm|11qB2,-0.96,0.07,8.285,7.902,8.155,8.181,6.813,7.012,6.93,6.755
A_52_P560728,Serhl,68607,Mm.379160,mm|15qE1,-0.97,0.009,11.957,11.957,11.811,11.881,10.402,10.549,10.37,10.105
A_52_P145033,Nisch,64652,Mm.298728,mm|14qB,-0.97,0.017,9.922,10.007,9.788,10.048,8.479,8.227,8.197,8.371
A_51_P370720,Tnfrsf23,79201,Mm.290780,,-0.98,0,6.02,5.746,5.992,5.85,5.967,5.628,5.676,5.932
A_52_P27117,Eif2c4,76850,Mm.86705,mm|4qD2.2,-0.98,0.001,8.05,7.958,7.784,8.109,6.627,6.678,6.582,6.692
A_52_P123384,Cib1,23991,Mm.30217,mm|7qD2,-0.98,0.004,12.666,12.619,12.69,12.522,11.458,11.525,11.257,11.491
A_51_P211854,Selp,20344,Mm.3337,mm|1qH2.2,-0.98,0.013,6.692,6.681,6.961,6.89,6.208,6.417,6.442,6.611
A_51_P170911,Ptpn9,56294,Mm.325643,mm|9qB,-0.98,0.019,8.37,8.618,8.607,8.479,7.347,7.503,7.41,7.247
A_51_P114062,Freq,14299,Mm.249318,mm|2qB,-0.98,0.024,7.368,7.343,7.525,7.478,7.111,7.137,7.352,7.283
A_52_P134158,Riok3,66878,Mm.28551,mm|18qA1,-0.98,0.031,11.151,11.565,11.422,11.447,10.969,10.897,11.093,10.962
A_51_P192979,Dcun1d3,233805,Mm.31539,mm|7qF2,-0.98,0.04,9.913,9.987,9.596,9.969,8.975,8.924,8.69,8.641
A_51_P433172,Tmem59,56374,Mm.291192,mm|4qC7,-0.98,0.046,13.835,14.075,14.065,14.263,12.475,12.71,12.764,12.559
A_52_P981179,,NA,,mm|18qE1,-0.99,0.001,7.943,7.842,7.784,7.887,5.766,6.328,5.965,5.932
A_51_P348617,2310045N01Rik,72368,Mm.644,mm|8qB3.3,-0.99,0.035,11.846,11.842,11.759,11.783,10.786,10.706,10.608,10.753
A_52_P422675,Hook3,320191,Mm.334464,mm|8qA2,-0.99,0.04,9.138,9.324,9.059,9.402,8.637,8.368,8.437,8.598
A_51_P235798,Zfp36l1,12192,Mm.235132,mm|12qD1,-0.99,0.04,12.862,12.16,12.571,12.325,11.152,10.996,11.314,11.282
A_51_P230624,2010109K11Rik,72123,Mm.425734,mm|12qA2,-0.99,0.046,7.791,7.726,7.841,7.891,6.907,7.214,6.957,7.213
A_51_P336952,Cryl1,68631,Mm.25539,mm|14qC2,-0.99,0.076,11.735,11.785,11.702,11.968,9.604,10.001,10.27,9.953
A_51_P272844,Osbpl9,100273,Mm.366315,mm|4qC7,-1,0.007,13.249,13.083,13.05,13.052,11.442,11.925,11.709,11.758
A_52_P327095,Ndfip1,65113,Mm.102496,mm|18qB3,-1,0.011,13.655,13.65,13.684,13.79,12.06,12.775,12.552,12.45
A_51_P331525,Lats2,50523,Mm.347899,mm|14qC3,-1,0.024,8.491,8.348,8.418,8.288,7.115,7.416,7.067,6.943
A_51_P223475,Chuk,12675,Mm.3996,mm|19qC3,-1,0.037,12.287,12.076,11.882,11.882,10.178,10.486,10.098,10.013
A_52_P504361,Naglu,27419,Mm.95452,mm|11qD,-1,0.057,11.055,11.362,10.77,11.175,9.842,9.876,9.924,9.65
A_51_P196605,Pink1,68943,Mm.18539,mm|4qD3,-1,0.078,12.973,12.534,12.943,12.654,11.219,11.791,11.119,11.299
A_52_P452599,Bcdo2,170752,Mm.390149,mm|9qA5.3,-1,0.087,8.095,8.14,8.231,8.453,5.81,6.526,6.149,6.191
A_51_P260721,Nphp1,53885,Mm.210766,mm|2qF1,-1.01,0.001,10.497,10.334,10.24,10.156,9.088,9.541,9.266,9.25
A_51_P157083,Gas1,14451,Mm.22701,mm|13qB3,-1.01,0.018,8.983,8.847,9.169,8.945,7.017,7.335,6.973,7.188
A_52_P78770,Chpt1,212862,Mm.288897,mm|10qC1,-1.01,0.038,8.96,8.661,8.994,8.987,6.491,6.887,6.488,6.309
A_51_P282630,Pacsin3,80708,Mm.236650,mm|2qE1,-1.01,0.049,13.758,13.75,13.393,13.913,12.477,12.302,12.211,12.442
A_51_P345649,Pdgfra,18595,Mm.221403,mm|5qC3.3,-1.01,0.053,7.643,7.607,7.652,7.757,6.773,7.188,7.131,6.75
A_52_P143976,Il17rc,171095,Mm.213397,mm|6qE3,-1.01,0.063,12.38,12.175,12.152,12.191,10.312,10.828,10.399,10.041
A_52_P390918,Trip4,56404,Mm.208379,mm|9qC,-1.01,0.1,10.531,10.795,10.429,10.628,8.912,9.12,8.868,9.016
A_51_P502661,Loh11cr2a,67776,Mm.290950,mm|9qA5.1,-1.02,0.003,9.556,9.645,9.617,9.658,8.39,8.634,8.172,8.383
A_52_P280114,Dock4,238130,Mm.341423,mm|12qB1,-1.02,0.005,6.859,6.878,6.8,6.97,5.881,6.137,6.093,6.045
A_51_P503866,Edem1,192193,Mm.21596,mm|6qE1,-1.02,0.03,13.251,12.972,12.958,12.806,11.503,11.458,11.152,11.239
A_51_P248999,Tulp4,68842,Mm.28251,mm|17qA1,-1.02,0.097,10.852,10.663,10.846,10.887,9.696,9.699,9.106,9.382
A_51_P150648,Lamp1,16783,Mm.16716,mm|8qA1.1,-1.03,0.001,14.938,14.884,15.079,15.014,13.746,13.941,13.659,13.617
A_51_P442206,Ankrd42,73845,Mm.73248,mm|7qE1,-1.03,0.001,7.453,7.612,7.628,7.663,6.763,7.008,6.764,6.791
A_51_P472538,Tmem134,66990,Mm.276255,mm|19qA,-1.03,0.009,11.783,11.583,11.656,11.78,10.379,10.62,10.339,10.301
