ProbeID,GeneSymbol,EntrezGene,UniGene,Cytoband,logFC.MycEffect,MycEffect.adjustp, Control 1 , Control 2 , Control 3 , Control 4 , Myc 1 , Myc 2 , Myc 3 , Myc 4 
A_51_P373369,Med4,67381,Mm.282888,mm|14qD2,0.83,0.018,10.77,10.484,10.69,10.636,11.784,11.698,11.789,11.866
A_52_P180826,2410091C18Rik,73694,Mm.104959,mm|17qE3,0.83,0.021,11.397,11.458,11.48,11.34,12.199,12.256,12.443,12.574
A_51_P167843,Timm17a,21854,Mm.2368,mm|1qE4,0.83,0.031,11.638,11.524,11.676,11.144,12.784,12.719,12.773,12.71
A_52_P664663,Rabepk,227746,Mm.158705,mm|2qB,0.83,0.057,10.015,10.04,10.28,9.999,11.597,11.527,11.687,11.51
A_52_P109304,Tbl2,27368,Mm.36746,mm|5qG2,0.83,0.094,8.512,8.62,8.705,8.583,9.644,9.622,9.626,9.769
A_51_P401730,2010321M09Rik,69882,Mm.272616,mm|9qC,0.82,0.001,9.522,9.626,9.774,9.498,10.475,10.539,10.559,10.729
A_52_P444235,,NA,,mm|2qA3,0.82,0.006,7.188,7.045,7.229,7.346,8.347,8.005,7.872,8.071
A_51_P398235,Dnajc11,230935,Mm.21353,mm|4qE2,0.82,0.007,9.144,9.387,9.441,9.541,10.047,10.009,10.203,10.164
A_51_P362161,Ubqln4,94232,Mm.303059,mm|3qF1,0.82,0.011,8.624,8.631,8.973,8.967,9.739,9.559,9.766,9.921
A_52_P29785,Arfip2,76932,Mm.41637,mm|7qE3,0.82,0.014,8.577,8.605,8.658,8.637,9.723,9.84,9.514,9.768
A_52_P368214,Spire1,68166,Mm.208723,mm|18qE2,0.82,0.016,6.205,5.927,5.992,5.968,7.35,7.268,7.392,7.66
A_51_P205099,Dazap1,70248,Mm.148693,mm|10qC1,0.82,0.056,11.06,10.686,10.823,10.935,12.055,11.826,12.071,12.069
A_51_P191021,Hrb,15463,Mm.380683,mm|1qC5,0.82,0.062,9.837,10.103,9.934,9.872,11.378,11.441,11.097,11.179
A_52_P1093473,Ndufab1,70316,Mm.347976,mm|7qF2,0.82,0.066,12.869,12.843,13.156,12.989,13.413,13.318,13.411,13.288
A_51_P114407,,NA,,,0.82,0.083,9.614,9.708,9.697,9.459,10.526,10.255,10.638,10.273
A_51_P293069,9630055N22Rik,226844,Mm.134053,mm|1qH6,0.82,0.096,8.491,8.418,8.473,8.472,9.615,9.342,9.227,9.127
A_51_P158922,Prkaa1,105787,Mm.207004,mm|15qA1,0.82,0.098,10.003,9.879,9.525,9.893,11.194,10.817,11.003,11
