Gene	 Normal Control 1 	 Normal Control 2	 Normal Control 3	 Normal Control 4	 Myc Tumor 1 	 Myc Tumor 2	 Myc Tumor 3	 Myc Tumor 4
2510005D08Rik	1467.35273	1811.538812	1661.188415	1922.809339	3829.65841	3583.118397	3763.867171	3782.173945
Fbl	10036.71824	8859.441262	9429.725113	10113.53688	108926.8432	83587.52365	106242.3914	101140.4096
Evi1	63.3819438	65.25425171	63.6460908	59.83841266	72.45432974	59.46628315	55.94743171	62.37949638
Ash1l	96.2023346	75.26984002	78.95725887	80.72815417	78.62956675	73.16085347	80.17052407	71.06168535
Mrm1	614.3853478	515.9187253	569.2821286	600.491494	952.7804495	1009.902289	1126.787696	1250.249229
Setd8	1938.869517	1519.098812	1410.508847	1728.13475	7393.285959	3267.564502	4020.056326	4278.828085
Atrx	99.80221985	108.3834	111.4304721	128.8010014	100.0099687	111.2761037	143.0127537	126.0629047
Nsun3	802.3011194	554.4832233	588.1335578	605.9269231	281.5017342	330.8423246	332.2211243	344.6528177
Pou5f1	64.89340671	70.47306228	65.11870029	65.43542596	81.57188015	63.42589205	65.39008529	65.20903658
Setd2	1896.337454	1896.337454	1720.962565	1892.398228	2304.119777	1843.203952	2040.914458	1972.760359
Prdm10	90.94989076	80.95229071	88.83153402	73.87426672	86.16320443	76.69177737	82.76793164	76.10925536
Rbm15b	159.1231576	159.4543892	129.9668609	145.2103021	254.7608888	203.7985533	210.6932084	230.8800969
Nsun6	178.2798695	218.5773349	218.5773349	253.352104	162.8048649	176.3136059	195.7678436	191.4733771
Btg2	134.0846243	124.4998333	116.4849695	126.7638876	168.1960483	134.4569016	199.6044397	183.9283426
2410004F06Rik	51.51783281	58.97370792	59.01459955	56.80712559	65.43542596	59.46628315	62.46603269	58.64759326
Dot1l	77.54705027	73.72080911	72.65549454	82.02546715	73.87426672	79.01200684	87.48719692	82.71058116
Etf1	549.5092666	634.2905333	736.733993	760.6030954	1156.861148	1298.832793	1259.818337	1360.574274
Smad4	4320.552211	4076.174221	4107.372281	5123.805512	7616.96209	6295.040743	6869.550567	7831.104042
Mtr	170.5439776	172.9246828	166.6872563	205.2160843	602.1587201	461.1205017	566.9194673	649.4163965
Mett5d1	593.8686231	577.229011	570.862704	538.573711	647.1695864	750.6517797	729.1137001	756.9215648
Prdm1	58.76967439	76.95803193	75.11348341	71.16026608	123.5541792	92.53966685	83.86517785	91.70954562
Nsun4	660.3101443	963.4059341	846.2851258	857.5042432	662.1434531	616.9458253	771.7554737	675.1199306
Thumpd2	307.4056774	388.5617288	405.3431633	418.4756882	798.9713717	731.1380376	999.456523	901.3852299
Nsun2	7858.291666	9197.33389	8575.46983	9058.145512	32026.97679	30467.84836	41822.7411	35536.15573
Suv420h2	529.321337	462.4007732	466.9097807	515.9187253	743.9181054	585.2868277	667.6739765	754.3028151
Wdr4	1932.161538	1691.397458	1509.651679	1526.487436	6751.5358	5728.731475	7424.097798	5800.654595
Hadh2	19660.33113	21410.04192	19976.27546	21217.98449	17020.66755	15128.69578	14786.57192	16349.96583
Mbd4	106.0058447	112.5170638	113.142724	115.2801254	169.4833805	171.3734729	166.8028351	194.9553587
Mbd3	1214.376447	1123.667904	1244.197675	1143.309273	1986.481992	2457.541391	2613.921319	2464.364597
Mbd1	97.95179327	82.48157635	110.7374964	133.8060928	100.0099687	103.8962664	98.22375014	99.11283557
H1foo	118.8501571	96.73727541	115.7605603	96.06906224	85.44949141	96.00249531	85.09485492	92.92532991
Nr1h4	8317.879098	9274.154206	10861.98383	10877.05218	1876.722984	3461.064231	2948.97934	2953.070329
Jmjd2c	70.47306228	63.51387998	60.8000245	64.1776919	95.00950852	74.02804377	70.96324119	72.55484242
Pygo1	74.38810288	65.25425171	71.30839365	66.94943615	99.4569304	93.50684023	98.22375014	114.9609437
Mettl4	72.80673458	88.52420026	83.98152029	95.00950852	101.3357908	88.70847268	98.22375014	98.22375014
C430014K11Rik	167.0342333	120.7600961	136.2393834	195.7678436	153.8094143	128.0887536	125.6267602	132.4220904
Zfp335	85.09485492	90.69807338	87.60856404	107.4856311	97.61290581	87.8518036	85.80560586	84.27308301
As3mt	1588.005287	1347.435034	1081.63648	990.4909615	2433.808599	3600.546041	3722.355165	4124.489933
Jmjd5	131.6898186	126.7638876	128.8010014	133.1584341	252.3006303	229.1264182	260.6554111	252.8258205
Tdrkh	501.4631924	593.0459168	582.8577429	478.0441318	1052.788558	1332.57406	1024.710029	1549.943596
Auts2	71.16026608	67.97818794	59.9629726	66.30289687	89.13993476	71.25898357	77.54705027	78.90254883
Wdr5	346.3291471	461.4402369	500.0747668	517.3511406	846.8719293	856.3163135	980.2459732	924.1607449
0610038D11Rik	3784.796457	3688.964013	3872.36707	3845.618677	6312.51852	5677.342252	5359.935781	5832.909601
Snrpb	1111.274877	1481.661323	1644.006172	1395.91947	2666.9961	4093.161853	4284.763913	4272.900479
Mettl6	917.1411662	836.3714469	718.5775237	742.8875304	1961.851327	1428.217514	1711.445932	1732.932806
1500003O22Rik	630.3459396	613.5342189	498.3446396	516.2764569	1233.891651	1034.702281	1394.952227	1116.679918
Mecp2	695.0630297	578.0297753	584.0710225	683.1222629	706.7224849	574.435062	644.9305497	683.1222629
Fto	211.1317884	132.7897519	159.2334916	133.8060928	288.2146781	144.3072528	180.5181389	207.0736252
Nol1	3283.457349	3420.520118	2942.853482	3263.037834	17829.76416	14412.17046	15640.5107	15608.02096
