pathway	NOP2	CHROMATIN_ORGANIZATION
TCGA.DD.AAW1.01A.11R.A41C.07	5.022360875	-0.027674455
TCGA.HP.A5N0.01A.11R.A28V.07	5.021179197	-0.334979374
TCGA.RC.A6M6.01A.11R.A32O.07	5.019249297	-0.107671136
TCGA.BC.A3KF.01A.11R.A213.07	5.017878067	-0.149012026
TCGA.UB.A7MF.01A.11R.A33J.07	5.009602636	-0.169734286
TCGA.CC.A7IE.01A.21R.A38B.07	5.007815686	-0.079674265
TCGA.DD.AADL.01A.11R.A41C.07	5.003759114	-0.138122565
TCGA.G3.A3CG.01A.11R.A213.07	5.003703643	-0.187313276
TCGA.CC.A7IK.01A.12R.A33R.07	5.002961059	0.149878877
TCGA.DD.A1EL.01A.11R.A155.07	4.998194261	-0.094648719
TCGA.UB.A7MD.01A.12R.A352.07	4.997996742	-0.258510937
TCGA.GJ.A3OU.01A.31R.A38B.07	4.991241695	-0.346823422
TCGA.LG.A6GG.01A.11R.A311.07	4.988322319	-0.24490166
TCGA.CC.A7IF.01A.11R.A33J.07	4.98749516	-0.181208777
TCGA.CC.A3M9.01A.11R.A213.07	4.981000387	0.03617371
TCGA.DD.AACP.01A.11R.A41C.07	4.980784002	0.067117368
TCGA.DD.A3A8.01A.11R.A22L.07	4.979518483	-0.16240774
TCGA.G3.AAV2.01A.11R.A37K.07	4.979470941	-0.072367787
TCGA.RC.A6M4.01A.11R.A32O.07	4.979201655	-0.110317787
TCGA.5R.AAAM.01A.12R.A41C.07	4.978753008	-0.399463797
TCGA.2Y.A9HB.01A.11R.A39D.07	4.977272169	-0.238299427
TCGA.DD.AAEG.01A.11R.A39D.07	4.973659403	-0.249399515
TCGA.DD.A3A4.01A.11R.A22L.07	4.972254285	-0.206266434
TCGA.DD.AADV.01A.11R.A39D.07	4.967288869	-0.03318796
TCGA.2Y.A9GX.01A.11R.A38B.07	4.963938336	-0.290819445
TCGA.DD.A4NG.01A.11R.A27V.07	4.960815241	-0.083671518
TCGA.DD.AACW.01A.11R.A41C.07	4.960107478	0.038210747
TCGA.DD.AAD3.01A.11R.A41C.07	4.958351256	-0.188076779
TCGA.DD.AAEK.01A.11R.A41C.07	4.957885472	-0.121392885
TCGA.2Y.A9H8.01A.11R.A39D.07	4.956425044	-0.163417752
TCGA.DD.A11C.01A.11R.A131.07	4.954193912	-0.111292206
TCGA.DD.AAVR.01A.11R.A41C.07	4.953987683	-0.361669152
TCGA.DD.AACA.01A.11R.A41C.07	4.951926219	0.048559947
TCGA.DD.A1EI.01A.11R.A131.07	4.951587429	-0.321851186
TCGA.2Y.A9H7.01A.11R.A39D.07	4.950861453	0.077034063
TCGA.FV.A4ZQ.01A.11R.A266.07	4.947301676	0.082903488
TCGA.ZS.A9CE.01A.11R.A37K.07	4.946829429	-0.290305426
TCGA.G3.AAV1.01A.11R.A38B.07	4.946718999	-0.030591093
TCGA.FV.A496.01A.11R.A266.07	4.94454236	-0.15765342
TCGA.BC.A10W.01A.11R.A131.07	4.944069856	-0.044474615
TCGA.2Y.A9GT.01A.11R.A38B.07	4.932116555	-0.266936981
TCGA.DD.AAVQ.01A.11R.A41C.07	4.931896734	-0.167644303
TCGA.MI.A75G.01A.11R.A32O.07	4.929872651	-0.198406853
TCGA.EP.A3JL.01A.11R.A213.07	4.92890286	-0.432061439
TCGA.DD.A3A2.01A.11R.A213.07	4.928492641	-0.267818758
TCGA.DD.AAE7.01A.11R.A41C.07	4.928458574	-0.369453537
TCGA.DD.A73E.01A.12R.A32O.07	4.927751399	0.066998916
TCGA.2V.A95S.01A.11R.A37K.07	4.925750144	-0.090813937
TCGA.BC.A10Q.01A.11R.A131.07	4.924768948	-0.030157058
