pathway	NOP2	CENTROSOME_DUPLICATION
TCGA.FV.A2QQ.01A.11R.A22L.07	4.727596688	-0.383249383
TCGA.DD.A3A5.01A.11R.A22L.07	4.717025765	-0.09142265
TCGA.DD.A73C.01A.12R.A33J.07	4.703377197	-0.150800236
TCGA.DD.AADA.01A.11R.A41C.07	4.695909457	-0.243465765
TCGA.CC.5260.01A.01R.A131.07	4.692051753	0.285117114
TCGA.DD.A1EJ.01A.11R.A155.07	4.684412994	0.3177521
TCGA.NI.A4U2.01A.11R.A28V.07	4.680165253	-0.151472215
TCGA.DD.A3A9.01A.11R.A266.07	4.677238613	-0.459387746
TCGA.CC.A123.01A.11R.A131.07	4.67004353	-0.205541298
TCGA.5R.AA1D.01A.11R.A38B.07	4.657364512	-0.186711089
TCGA.DD.A4NA.01A.11R.A266.07	4.647230672	0.232950382
TCGA.DD.AACE.01A.11R.A41C.07	4.646298904	0.054360915
TCGA.DD.A39Y.01A.11R.A213.07	4.645839016	-0.057276843
TCGA.DD.AADN.01A.11R.A41C.07	4.636409863	-0.124973985
TCGA.CC.5259.01A.31R.A213.07	4.630465636	-0.172184188
TCGA.DD.A4NB.01A.12R.A266.07	4.626830312	-0.161888791
TCGA.DD.A4NF.01A.11R.A27V.07	4.626091273	-0.22549379
TCGA.O8.A75V.01A.11R.A32O.07	4.622651291	-0.471741093
TCGA.DD.A118.01A.11R.A131.07	4.614967978	-0.298616788
TCGA.XR.A8TG.01A.11R.A36F.07	4.591538767	0.106920482
TCGA.DD.AAEE.01A.11R.A41C.07	4.580812493	0.085619342
TCGA.GJ.A6C0.01A.12R.A311.07	4.579211628	0.004115735
TCGA.BC.A69H.01A.11R.A311.07	4.578111062	-0.074730241
TCGA.2Y.A9GW.01A.11R.A38B.07	4.567182381	-0.396504093
TCGA.DD.AACO.01A.11R.A41C.07	4.55197135	-0.283498858
TCGA.G3.A3CK.01A.11R.A213.07	4.550461117	-0.093591579
TCGA.ZP.A9CV.01A.11R.A38B.07	4.533653809	-0.086187441
TCGA.DD.A39W.01A.11R.A213.07	4.53047886	-0.130832735
TCGA.T1.A6J8.01A.11R.A32O.07	4.530108853	-0.396972747
TCGA.2Y.A9H3.01A.11R.A38B.07	4.522106034	-0.457533046
TCGA.DD.AAE4.01A.11R.A41C.07	4.519208912	-0.200076332
TCGA.G3.A25T.01A.11R.A16W.07	4.517463851	-0.144918687
TCGA.DD.AAE3.01A.11R.A41C.07	4.516323479	-0.425177704
TCGA.WQ.AB4B.01A.11R.A41C.07	4.515949734	-0.252779579
TCGA.FV.A3R3.01A.11R.A22L.07	4.511568268	-0.386748747
TCGA.PD.A5DF.01A.11R.A27V.07	4.508927642	0.104500627
TCGA.EP.A2KA.01A.11R.A180.07	4.503921158	0.087481062
TCGA.G3.AAV0.01A.11R.A37K.07	4.500357919	-0.374197402
TCGA.BC.A10S.01A.22R.A131.07	4.498806284	-0.500791173
TCGA.DD.AACD.01A.11R.A41C.07	4.497724051	-0.425084214
TCGA.BW.A5NO.01A.11R.A27V.07	4.493598124	0.001950793
TCGA.EP.A3RK.01A.11R.A22L.07	4.491500378	0.002741679
TCGA.DD.AAC9.01A.11R.A41C.07	4.484716638	-0.514475597
TCGA.DD.AACB.01A.11R.A41C.07	4.471457226	-0.272743353
TCGA.2Y.A9H4.01A.11R.A38B.07	4.465343045	-0.228633797
TCGA.ES.A2HT.01A.12R.A180.07	4.460582155	-0.46223389
TCGA.DD.A73G.01A.22R.A32O.07	4.458514648	-0.474247617
TCGA.DD.AACC.01A.11R.A41C.07	4.451548226	-0.419637881
TCGA.G3.A5SI.01A.31R.A27V.07	4.450552221	0.352584369
TCGA.G3.A3CJ.01A.11R.A213.07	4.449162806	-0.279703451
TCGA.BC.A5W4.01A.11R.A28V.07	4.445592546	-0.283606004
TCGA.BC.A217.01A.11R.A155.07	4.438390594	0.188922793
TCGA.BC.A69I.01A.11R.A311.07	4.432486122	-0.426968379
TCGA.DD.AACY.01A.11R.A41C.07	4.425747386	-0.288925857
TCGA.FV.A495.01A.11R.A266.07	4.417957117	-0.270520425
TCGA.FV.A2QR.01A.11R.A213.07	4.381295443	-0.088746079
TCGA.G3.A25Z.01A.11R.A16W.07	4.363987392	-0.29168408
TCGA.CC.5262.01A.01R.A131.07	4.029635573	-0.40824575
TCGA.2Y.A9H1.01A.11R.A38B.07	4.029635573	-0.42178192
TCGA.BD.A2L6.01A.11R.A213.07	4.029635573	0.038254368
TCGA.DD.AAVU.01A.11R.A41C.07	4.029635573	-0.241633611
TCGA.DD.AADJ.01A.11R.A41C.07	4.029635573	-0.353934748
TCGA.G3.AAUZ.01A.11R.A38B.07	4.029635573	-0.22801577
TCGA.DD.AACI.01A.11R.A41C.07	4.029635573	-0.373691594
TCGA.DD.AAEB.01A.11R.A41C.07	4.029635573	-0.322670794
TCGA.DD.A39Z.01A.11R.A213.07	4.029635573	-0.257090276
TCGA.DD.A3A3.01A.11R.A22L.07	4.029635573	-0.34384589
TCGA.DD.A119.01A.11R.A131.07	4.029635573	-0.390760887
TCGA.ES.A2HS.01A.11R.A180.07	4.029635573	-0.447539625
TCGA.DD.A3A1.01A.11R.A213.07	4.029635573	-0.130003652
TCGA.DD.AADI.01A.11R.A41C.07	4.029635573	-0.309085787

