pathway	NOP2	HISTONE_METHYLATION
TCGA.DD.A4NE.01A.11R.A27V.07	4.899591909	0.036093831
TCGA.DD.AAVV.01A.11R.A41C.07	4.899119582	-0.236927424
TCGA.2Y.A9GY.01A.11R.A38B.07	4.898472042	-0.136860906
TCGA.K7.A5RF.01A.11R.A28V.07	4.897538693	-0.386057887
TCGA.G3.A7M8.01A.11R.A33R.07	4.896803904	-0.385119066
TCGA.DD.A11B.01A.11R.A131.07	4.893037589	-0.228872248
TCGA.G3.AAV6.01A.21R.A37K.07	4.892260124	-0.125839701
TCGA.CC.A7IL.01A.11R.A33R.07	4.89104993	-0.115757802
TCGA.CC.5261.01A.01R.A131.07	4.888441648	0.072778325
TCGA.G3.A5SJ.01A.11R.A27V.07	4.885885058	-0.285049273
TCGA.BD.A3EP.01A.11R.A22L.07	4.881133254	-0.211415987
TCGA.DD.A11D.01A.11R.A131.07	4.879643405	-0.294426163
TCGA.DD.AAD2.01A.11R.A41C.07	4.873602277	-0.469592177
TCGA.DD.AAVP.01A.11R.A41C.07	4.873515597	-0.113120006
TCGA.G3.AAV3.01A.11R.A37K.07	4.87152141	-0.103008293
TCGA.DD.AACJ.01A.11R.A41C.07	4.868312239	-0.187748707
TCGA.WX.AA44.01A.11R.A39D.07	4.866185336	-0.10293844
TCGA.G3.A3CI.01A.11R.A213.07	4.863470308	-0.414677649
TCGA.BW.A5NQ.01A.11R.A27V.07	4.860235449	0.032482366
TCGA.BC.A10Y.01A.11R.A131.07	4.860091969	-0.006756253
TCGA.UB.AA0U.01A.11R.A38B.07	4.859459194	-2.89E-04
TCGA.DD.A1EH.01A.11R.A131.07	4.855302448	0.200191899
TCGA.DD.A1ED.01A.11R.A155.07	4.855142781	-0.365532967
TCGA.DD.A1EK.01A.11R.A213.07	4.851471357	-0.199058368
TCGA.FV.A23B.01A.11R.A16W.07	4.850301996	0.086674075
TCGA.DD.A3A6.01A.11R.A22L.07	4.848202594	-0.301852549
TCGA.KR.A7K2.01A.12R.A33R.07	4.847917148	-0.255989343
TCGA.G3.A5SM.01A.12R.A28V.07	4.847184896	-0.44902008
TCGA.ED.A5KG.01A.11R.A27V.07	4.846678775	0.076004721
TCGA.CC.A5UE.01A.11R.A28V.07	4.846324911	-0.135056063
TCGA.DD.A1EG.01A.11R.A213.07	4.844224164	-0.224705194
TCGA.G3.AAV5.01A.11R.A37K.07	4.843275724	-0.166046087
TCGA.DD.AACS.01A.11R.A41C.07	4.843229696	0.198978884
TCGA.KR.A7K7.01A.11R.A33J.07	4.837165091	-0.201535949
TCGA.ED.A627.01A.12R.A311.07	4.834499243	-0.392879132
TCGA.MI.A75E.01A.11R.A32O.07	4.825935994	-0.404018408
TCGA.FV.A3R2.01A.11R.A22L.07	4.825464267	0.007710424
TCGA.DD.AAVW.01A.11R.A41C.07	4.822849628	-0.238883956
TCGA.MI.A75H.01A.11R.A32O.07	4.815729083	-0.194331247
TCGA.BC.A10R.01A.11R.A131.07	4.814704959	-0.210805822
TCGA.DD.A115.01A.11R.A131.07	4.813973292	-0.149103205
TCGA.DD.AADS.01A.11R.A41C.07	4.809426544	-0.366447688
TCGA.DD.A4NP.01A.11R.A28V.07	4.808339298	-0.373769077
TCGA.EP.A12J.01A.11R.A131.07	4.806885577	0.13055968
TCGA.2Y.A9H0.01A.11R.A38B.07	4.804794616	-0.027952557
TCGA.EP.A26S.01A.11R.A16W.07	4.802260853	0.056605643
TCGA.BC.A10T.01A.11R.A131.07	4.801259516	-0.382233889
TCGA.DD.AACG.01A.11R.A41C.07	4.800897616	-0.115091209
TCGA.CC.A5UD.01A.11R.A28V.07	4.796448739	0.047898998
TCGA.ED.A4XI.01A.11R.A266.07	4.795272887	-0.285767657
TCGA.UB.A7MA.01A.11R.A33R.07	4.791511353	-0.071292268
TCGA.DD.AADO.01A.11R.A41C.07	4.780062859	-0.272640417
TCGA.MI.A75I.01A.11R.A32O.07	4.778533653	-0.157801896
TCGA.ZS.A9CG.01A.11R.A37K.07	4.774678689	-0.299978369
TCGA.5C.AAPD.01A.21R.A39D.07	4.773612629	-0.214584612
TCGA.RC.A6M5.01A.11R.A32O.07	4.771706314	-0.420625739
TCGA.BC.A110.01A.11R.A131.07	4.759510524	-0.477708453
TCGA.DD.A116.01A.11R.A131.07	4.759252081	-0.25348827
TCGA.G3.A25X.01A.11R.A16W.07	4.758387283	-0.2996109
TCGA.CC.A7IG.01A.11R.A33J.07	4.744977806	-0.115338202
TCGA.RC.A7SH.01A.11R.A38B.07	4.742234919	0.111225693
TCGA.DD.A73F.01A.11R.A32O.07	4.73211941	-0.127794758
TCGA.DD.A39X.01A.11R.A213.07	4.731575781	-0.31712929
TCGA.DD.AADM.01A.11R.A41C.07	4.728387673	-0.249351259
TCGA.G3.A25S.01A.11R.A16W.07	4.728236301	-0.211789184
TCGA.FV.A2QQ.01A.11R.A22L.07	4.727596688	-0.362098439
TCGA.DD.A3A5.01A.11R.A22L.07	4.717025765	-0.335434586
TCGA.DD.A73C.01A.12R.A33J.07	4.703377197	-0.216926267
TCGA.DD.AADA.01A.11R.A41C.07	4.695909457	-0.029285166
TCGA.CC.5260.01A.01R.A131.07	4.692051753	0.144017058
TCGA.DD.A1EJ.01A.11R.A155.07	4.684412994	0.041094869
TCGA.NI.A4U2.01A.11R.A28V.07	4.680165253	-0.498050105
TCGA.DD.A3A9.01A.11R.A266.07	4.677238613	-0.218654198
TCGA.CC.A123.01A.11R.A131.07	4.67004353	-0.117412849
TCGA.5R.AA1D.01A.11R.A38B.07	4.657364512	-0.41927993
TCGA.DD.A4NA.01A.11R.A266.07	4.647230672	0.057007251
TCGA.DD.AACE.01A.11R.A41C.07	4.646298904	0.093443672
TCGA.DD.A39Y.01A.11R.A213.07	4.645839016	-0.063776774
TCGA.DD.AADN.01A.11R.A41C.07	4.636409863	-0.1661113
TCGA.CC.5259.01A.31R.A213.07	4.630465636	-0.163138558
TCGA.DD.A4NB.01A.12R.A266.07	4.626830312	-0.416335424
TCGA.DD.A4NF.01A.11R.A27V.07	4.626091273	-0.018660296
TCGA.O8.A75V.01A.11R.A32O.07	4.622651291	-0.308627867
TCGA.DD.A118.01A.11R.A131.07	4.614967978	-0.033099043
