pathway	NOP2	CELL_CYCLE
TCGA.BC.A5W4.01A.11R.A28V.07	4.445592546	-0.215695226
TCGA.BC.A217.01A.11R.A155.07	4.438390594	-0.05733477
TCGA.BC.A69I.01A.11R.A311.07	4.432486122	-0.279696696
TCGA.DD.AACY.01A.11R.A41C.07	4.425747386	-0.177237316
TCGA.FV.A495.01A.11R.A266.07	4.417957117	-0.23993013
TCGA.FV.A2QR.01A.11R.A213.07	4.381295443	-0.152062055
TCGA.G3.A25Z.01A.11R.A16W.07	4.363987392	-0.198982326
TCGA.CC.5262.01A.01R.A131.07	4.029635573	-0.170868444
TCGA.2Y.A9H1.01A.11R.A38B.07	4.029635573	-0.323605914
TCGA.BD.A2L6.01A.11R.A213.07	4.029635573	-0.065254036
TCGA.DD.AAVU.01A.11R.A41C.07	4.029635573	-0.147163094
TCGA.DD.AADJ.01A.11R.A41C.07	4.029635573	-0.188850499
TCGA.G3.AAUZ.01A.11R.A38B.07	4.029635573	-0.152552085
TCGA.DD.AACI.01A.11R.A41C.07	4.029635573	-0.263616294
TCGA.DD.AAEB.01A.11R.A41C.07	4.029635573	-0.334719892
TCGA.DD.A39Z.01A.11R.A213.07	4.029635573	-0.152634801
TCGA.DD.A3A3.01A.11R.A22L.07	4.029635573	-0.24088317
TCGA.DD.A119.01A.11R.A131.07	4.029635573	-0.269307681
TCGA.ES.A2HS.01A.11R.A180.07	4.029635573	-0.268870416
TCGA.DD.A3A1.01A.11R.A213.07	4.029635573	-0.215950726
TCGA.DD.AADI.01A.11R.A41C.07	4.029635573	-0.212197688

