pathway	NOP2	DNA_METHYLATION
TCGA.DD.AAVP.01A.11R.A41C.07	4.873515597	-0.343381563
TCGA.G3.AAV3.01A.11R.A37K.07	4.87152141	-0.286264999
TCGA.DD.AACJ.01A.11R.A41C.07	4.868312239	-0.289545147
TCGA.WX.AA44.01A.11R.A39D.07	4.866185336	-0.024458611
TCGA.G3.A3CI.01A.11R.A213.07	4.863470308	-0.468192906
TCGA.BW.A5NQ.01A.11R.A27V.07	4.860235449	0.00229938
TCGA.BC.A10Y.01A.11R.A131.07	4.860091969	-0.112791402
TCGA.UB.AA0U.01A.11R.A38B.07	4.859459194	-0.059062831
TCGA.DD.A1EH.01A.11R.A131.07	4.855302448	-0.033716133
TCGA.DD.A1ED.01A.11R.A155.07	4.855142781	-0.381762665
TCGA.DD.A1EK.01A.11R.A213.07	4.851471357	-0.3125028
TCGA.FV.A23B.01A.11R.A16W.07	4.850301996	-0.063040049
TCGA.DD.A3A6.01A.11R.A22L.07	4.848202594	-0.327666749
TCGA.KR.A7K2.01A.12R.A33R.07	4.847917148	-0.173176587
TCGA.G3.A5SM.01A.12R.A28V.07	4.847184896	-0.407851138
TCGA.ED.A5KG.01A.11R.A27V.07	4.846678775	-0.040418633
TCGA.CC.A5UE.01A.11R.A28V.07	4.846324911	-0.068644061
TCGA.DD.A1EG.01A.11R.A213.07	4.844224164	-0.278069254
TCGA.G3.AAV5.01A.11R.A37K.07	4.843275724	-0.269717412
TCGA.DD.AACS.01A.11R.A41C.07	4.843229696	0.026024097
TCGA.KR.A7K7.01A.11R.A33J.07	4.837165091	-0.237939796
TCGA.ED.A627.01A.12R.A311.07	4.834499243	-0.245465524
TCGA.MI.A75E.01A.11R.A32O.07	4.825935994	-0.430873479
TCGA.FV.A3R2.01A.11R.A22L.07	4.825464267	-0.274757408
TCGA.DD.AAVW.01A.11R.A41C.07	4.822849628	-0.092803852
TCGA.MI.A75H.01A.11R.A32O.07	4.815729083	-0.320316928
TCGA.BC.A10R.01A.11R.A131.07	4.814704959	-0.184377922
TCGA.DD.A115.01A.11R.A131.07	4.813973292	-0.099022377
TCGA.DD.AADS.01A.11R.A41C.07	4.809426544	-0.398515611
TCGA.DD.A4NP.01A.11R.A28V.07	4.808339298	-0.394247961
TCGA.EP.A12J.01A.11R.A131.07	4.806885577	-0.076759094
TCGA.2Y.A9H0.01A.11R.A38B.07	4.804794616	-0.100847353
TCGA.EP.A26S.01A.11R.A16W.07	4.802260853	0.036736046
TCGA.BC.A10T.01A.11R.A131.07	4.801259516	-0.174116249
TCGA.DD.AACG.01A.11R.A41C.07	4.800897616	-0.098247222
TCGA.CC.A5UD.01A.11R.A28V.07	4.796448739	-0.14427016
TCGA.ED.A4XI.01A.11R.A266.07	4.795272887	-0.203410683
TCGA.UB.A7MA.01A.11R.A33R.07	4.791511353	0.112921893
TCGA.DD.AADO.01A.11R.A41C.07	4.780062859	-0.32280405
TCGA.MI.A75I.01A.11R.A32O.07	4.778533653	-0.357439774
TCGA.ZS.A9CG.01A.11R.A37K.07	4.774678689	-0.453390939
TCGA.5C.AAPD.01A.21R.A39D.07	4.773612629	-0.195120962
TCGA.RC.A6M5.01A.11R.A32O.07	4.771706314	-0.408193807
TCGA.BC.A110.01A.11R.A131.07	4.759510524	-0.296316181
TCGA.DD.A116.01A.11R.A131.07	4.759252081	-0.227261129
TCGA.G3.A25X.01A.11R.A16W.07	4.758387283	-0.150672126
TCGA.CC.A7IG.01A.11R.A33J.07	4.744977806	-0.154987693
TCGA.RC.A7SH.01A.11R.A38B.07	4.742234919	0.03123478
TCGA.DD.A73F.01A.11R.A32O.07	4.73211941	-0.049318474
TCGA.DD.A39X.01A.11R.A213.07	4.731575781	-0.253544984
TCGA.DD.AADM.01A.11R.A41C.07	4.728387673	-0.273338436
TCGA.G3.A25S.01A.11R.A16W.07	4.728236301	-0.313071316
TCGA.FV.A2QQ.01A.11R.A22L.07	4.727596688	-0.313479306
TCGA.DD.A3A5.01A.11R.A22L.07	4.717025765	-0.328517597
TCGA.DD.A73C.01A.12R.A33J.07	4.703377197	-0.166028171
TCGA.DD.AADA.01A.11R.A41C.07	4.695909457	-0.327088816
TCGA.CC.5260.01A.01R.A131.07	4.692051753	0.015695527
TCGA.DD.A1EJ.01A.11R.A155.07	4.684412994	-0.033858835
TCGA.NI.A4U2.01A.11R.A28V.07	4.680165253	-0.535925247
TCGA.DD.A3A9.01A.11R.A266.07	4.677238613	-0.380280965
TCGA.CC.A123.01A.11R.A131.07	4.67004353	-0.210357254
TCGA.5R.AA1D.01A.11R.A38B.07	4.657364512	-0.378135804
TCGA.DD.A4NA.01A.11R.A266.07	4.647230672	0.060246131
TCGA.DD.AACE.01A.11R.A41C.07	4.646298904	-0.034731959
TCGA.DD.A39Y.01A.11R.A213.07	4.645839016	-0.193761081
TCGA.DD.AADN.01A.11R.A41C.07	4.636409863	-0.186156053
TCGA.CC.5259.01A.31R.A213.07	4.630465636	-0.221736069
TCGA.DD.A4NB.01A.12R.A266.07	4.626830312	-0.407922607
TCGA.DD.A4NF.01A.11R.A27V.07	4.626091273	-0.195848204
TCGA.O8.A75V.01A.11R.A32O.07	4.622651291	-0.314815182
TCGA.DD.A118.01A.11R.A131.07	4.614967978	-0.112361243
TCGA.XR.A8TG.01A.11R.A36F.07	4.591538767	0.04081768
TCGA.DD.AAEE.01A.11R.A41C.07	4.580812493	-0.375601712
TCGA.GJ.A6C0.01A.12R.A311.07	4.579211628	-0.249737445
TCGA.BC.A69H.01A.11R.A311.07	4.578111062	-0.277907848
TCGA.2Y.A9GW.01A.11R.A38B.07	4.567182381	-0.407449358
TCGA.DD.AACO.01A.11R.A41C.07	4.55197135	-0.276134488
TCGA.G3.A3CK.01A.11R.A213.07	4.550461117	-0.374014661
TCGA.ZP.A9CV.01A.11R.A38B.07	4.533653809	-0.166285077
TCGA.DD.A39W.01A.11R.A213.07	4.53047886	-0.025163547
TCGA.T1.A6J8.01A.11R.A32O.07	4.530108853	-0.277427772
TCGA.2Y.A9H3.01A.11R.A38B.07	4.522106034	-0.384727204
TCGA.DD.AAE4.01A.11R.A41C.07	4.519208912	-0.415148431
TCGA.G3.A25T.01A.11R.A16W.07	4.517463851	-0.09818815
TCGA.DD.AAE3.01A.11R.A41C.07	4.516323479	-0.438690019
TCGA.WQ.AB4B.01A.11R.A41C.07	4.515949734	-0.332803446
TCGA.FV.A3R3.01A.11R.A22L.07	4.511568268	-0.350090622
TCGA.PD.A5DF.01A.11R.A27V.07	4.508927642	-0.178081543
TCGA.EP.A2KA.01A.11R.A180.07	4.503921158	-0.162158974
TCGA.G3.AAV0.01A.11R.A37K.07	4.500357919	-0.268528879
TCGA.BC.A10S.01A.22R.A131.07	4.498806284	-0.319146219
TCGA.DD.AACD.01A.11R.A41C.07	4.497724051	-0.28830446
TCGA.BW.A5NO.01A.11R.A27V.07	4.493598124	-0.211987808
TCGA.EP.A3RK.01A.11R.A22L.07	4.491500378	-0.280185205
TCGA.DD.AAC9.01A.11R.A41C.07	4.484716638	-0.426110144
TCGA.DD.AACB.01A.11R.A41C.07	4.471457226	-0.305119097
TCGA.2Y.A9H4.01A.11R.A38B.07	4.465343045	-0.270472033
TCGA.ES.A2HT.01A.12R.A180.07	4.460582155	-0.421202674
TCGA.DD.A73G.01A.22R.A32O.07	4.458514648	-0.325480151
TCGA.DD.AACC.01A.11R.A41C.07	4.451548226	-0.325038048
TCGA.G3.A5SI.01A.31R.A27V.07	4.450552221	-0.100612283
TCGA.G3.A3CJ.01A.11R.A213.07	4.449162806	-0.242758255
TCGA.BC.A5W4.01A.11R.A28V.07	4.445592546	-0.218889158
TCGA.BC.A217.01A.11R.A155.07	4.438390594	-0.058230724
TCGA.BC.A69I.01A.11R.A311.07	4.432486122	-0.39987869
TCGA.DD.AACY.01A.11R.A41C.07	4.425747386	-0.22103486
TCGA.FV.A495.01A.11R.A266.07	4.417957117	-0.26937017
TCGA.FV.A2QR.01A.11R.A213.07	4.381295443	-0.162690175
TCGA.G3.A25Z.01A.11R.A16W.07	4.363987392	-0.380036023
TCGA.CC.5262.01A.01R.A131.07	4.029635573	-0.332522304
TCGA.2Y.A9H1.01A.11R.A38B.07	4.029635573	-0.284438953
TCGA.BD.A2L6.01A.11R.A213.07	4.029635573	-0.212907032
TCGA.DD.AAVU.01A.11R.A41C.07	4.029635573	-0.360229087
TCGA.DD.AADJ.01A.11R.A41C.07	4.029635573	-0.360299254
TCGA.G3.AAUZ.01A.11R.A38B.07	4.029635573	-0.360174771
TCGA.DD.AACI.01A.11R.A41C.07	4.029635573	-0.273842485
TCGA.DD.AAEB.01A.11R.A41C.07	4.029635573	-0.289905421
TCGA.DD.A39Z.01A.11R.A213.07	4.029635573	-0.222135202
TCGA.DD.A3A3.01A.11R.A22L.07	4.029635573	-0.382958235
TCGA.DD.A119.01A.11R.A131.07	4.029635573	-0.297301379
TCGA.ES.A2HS.01A.11R.A180.07	4.029635573	-0.32518146
TCGA.DD.A3A1.01A.11R.A213.07	4.029635573	-0.281355789
TCGA.DD.AADI.01A.11R.A41C.07	4.029635573	-0.342378123

