ID	Log2FoldChange	pvalue
p-cresol-sulfate	-4.037284503	0.323412816
palmitate	0.039576644	0.693471553
palmitoleate	0.835546848	9.73187E-05
palmitoyl-sphingomyelin	1.70523839	3.93112E-05
palmitoylcarnitine	-1.860599935	0.250112372
pantothenate	0.209031498	0.386619369
pentadecanoate 	-0.009011399	0.961368929
phenol-sulfate	-3.86386408	0.123240803
phenylacetylglycine	-2.7009887	0.179178611
phenylalanine	0.747147687	3.54152E-06
phosphate	0.195738137	0.018887264
phosphoenolpyruvate	0.003050949	0.993424942
phosphoethanolamine	1.648154493	0.015801412
phosphoglycolate	0.702311486	0.017795872
pipecolate	-1.571367261	0.066012238
pro-hydroxy-pro	-1.354438237	0.005966142
proline	0.922564573	1.78988E-05
propionylcarnitine	1.791559933	3.25379E-05
pseudouridine	-0.739132623	0.285685746
putrescine	-1.21734348	0.11683874
pyridoxate	-0.54875221	0.050923229
pyruvate	-1.784976265	0.008899769
ribitol	0.465922376	0.068356904
riboflavin	-0.573556007	0.070740033
ribose	-0.16441608	0.551865576
ribose-5-phosphate	-0.485418446	0.38913823
ribulose	-0.089573865	0.751843557
S-adenosylhomocysteine	0.046399196	0.870307037
S-adenosylmethionine	1.539237333	4.23504E-05
S-methylglutathione	-3.958568731	0.000488532
sarcosine	-1.09518085	0.148639899
scyllo-inositol	-0.125762194	0.696802593
sedoheptulose-7-phosphate	-0.122464111	0.820784839
serine	1.380445449	1.61563E-09
sorbitol	1.130100884	0.000323331
spermidine	0.553439711	0.002374004
sphinganine	0.273840755	0.236473896
sphingosine	2.632058363	6.44328E-05
squalene	1.85273791	0.000836036
stachydrine	0.365990341	0.595353432
stearate	0.025446516	0.835518685
stearidonate	2.945445763	0.00142773
stearoyl-sphingomyelin	1.691675397	1.20599E-06
stearoylcarnitine	-0.862444235	0.460722332
succinate	-1.947895488	0.039294027
succinylcarnitine	0.879892324	0.112391608
tagatose	0.420240569	0.065699027
taurine	0.881693648	7.49495E-07
tauro-beta-muricholate	-0.263205947	0.68223145
